Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1,Firefox 58.0,,2018-07-02 13:15:52,2018-07-02 13:16:12,"20,280s",FAILED
,,,,,,
Test Cases/LogIn/LogIn_with_correct_data,Firefox 58.0,,2018-07-02 13:15:52,2018-07-02 13:16:10,"17,597s",PASSED
openBrowser,Firefox 58.0,,2018-07-02 13:15:53,2018-07-02 13:16:04,"11,670s",PASSED
verifyElementPresent,Firefox 58.0,,2018-07-02 13:16:04,2018-07-02 13:16:04,"0,128s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:04,2018-07-02 13:16:05,"0,441s",PASSED
waitForElementPresent,Firefox 58.0,,2018-07-02 13:16:05,2018-07-02 13:16:05,"0,193s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:05,2018-07-02 13:16:05,"0,303s",PASSED
setText,Firefox 58.0,,2018-07-02 13:16:05,2018-07-02 13:16:06,"0,498s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:06,2018-07-02 13:16:08,"2,218s",PASSED
setText,Firefox 58.0,,2018-07-02 13:16:08,2018-07-02 13:16:09,"0,561s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:09,2018-07-02 13:16:09,"0,341s",PASSED
waitForPageLoad,Firefox 58.0,,2018-07-02 13:16:09,2018-07-02 13:16:09,"0,089s",PASSED
verifyElementPresent,Firefox 58.0,,2018-07-02 13:16:09,2018-07-02 13:16:10,"0,678s",PASSED
,,,,,,
Test Cases/OpenProfilePage,Firefox 58.0,,2018-07-02 13:16:10,2018-07-02 13:16:11,"0,871s",FAILED
click,Firefox 58.0,,2018-07-02 13:16:10,2018-07-02 13:16:11,"0,553s",FAILED
,,,,,,
Test Cases/LogOut,Firefox 58.0,,2018-07-02 13:16:11,2018-07-02 13:16:11,"0,699s",FAILED
click,Firefox 58.0,,2018-07-02 13:16:11,2018-07-02 13:16:11,"0,506s",FAILED
